code,"102","103","104","105","106","107","108","124","125","126"
Ltr,10.50 ,11.25 ,12.00 ,12.25 ,12.50 ,12.75 ,13.00 ,13.25 ,13.25 ,18.50 
1,13.75 ,15.00 ,16.75 ,17.50 ,18.00 ,18.50 ,19.00 ,22.50 ,22.00 ,31.50 
2,14.75 ,16.00 ,18.50 ,19.75 ,20.25 ,20.75 ,21.25 ,24.00 ,24.25 ,33.50 
3,15.75 ,17.00 ,20.25 ,21.50 ,22.25 ,22.75 ,23.25 ,25.50 ,26.75 ,35.25 
4,16.75 ,18.00 ,22.00 ,23.50 ,24.25 ,24.75 ,25.25 ,26.50 ,28.50 ,36.25 
5,17.50 ,19.00 ,23.75 ,25.25 ,26.25 ,26.75 ,27.25 ,28.50 ,30.75 ,37.50 
6,18.25 ,20.00 ,25.75 ,27.25 ,28.50 ,29.00 ,29.50 ,30.25 ,32.75 ,38.50 
7,19.00 ,21.00 ,27.75 ,29.25 ,30.50 ,31.00 ,31.50 ,32.00 ,34.75 ,39.75 
8,19.75 ,22.00 ,29.75 ,31.25 ,32.50 ,33.00 ,33.50 ,33.75 ,37.00 ,41.00 
9,20.50 ,23.00 ,31.75 ,33.25 ,34.50 ,35.00 ,35.50 ,35.25 ,39.00 ,42.75 
10,21.25 ,24.00 ,33.50 ,35.25 ,36.50 ,37.00 ,37.50 ,37.25 ,41.25 ,44.75 
11,22.00 ,25.00 ,35.25 ,37.25 ,38.50 ,39.00 ,39.50 ,40.00 ,44.00 ,46.25 
12,22.75 ,26.00 ,36.75 ,39.00 ,40.50 ,41.00 ,41.50 ,41.50 ,45.50 ,48.00 
13,23.50 ,27.00 ,38.25 ,40.75 ,42.25 ,43.00 ,43.50 ,42.75 ,46.75 ,49.50 
14,24.25 ,28.00 ,39.75 ,42.50 ,44.00 ,44.75 ,45.50 ,44.25 ,48.00 ,51.00 
15,25.00 ,29.00 ,41.25 ,44.00 ,45.50 ,46.50 ,47.50 ,46.25 ,49.50 ,52.75 
16,25.75 ,29.75 ,42.75 ,45.50 ,47.00 ,48.00 ,49.25 ,48.00 ,51.00 ,54.50 
17,26.50 ,30.50 ,44.25 ,47.00 ,48.50 ,49.75 ,51.00 ,50.00 ,52.50 ,56.25 
18,27.25 ,31.25 ,45.75 ,48.50 ,50.00 ,51.25 ,52.50 ,52.00 ,53.75 ,57.75 
19,28.00 ,32.00 ,47.25 ,50.00 ,51.50 ,52.75 ,54.00 ,54.00 ,55.00 ,59.50 
20,28.75 ,32.75 ,48.75 ,51.50 ,53.00 ,54.25 ,55.50 ,55.75 ,56.25 ,61.00 
21,29.50 ,33.50 ,50.25 ,53.00 ,54.50 ,55.75 ,57.00 ,57.25 ,57.25 ,62.50 
22,30.25 ,34.25 ,51.75 ,54.50 ,56.00 ,57.25 ,58.50 ,58.75 ,58.25 ,64.25 
23,31.00 ,35.00 ,53.25 ,56.00 ,57.50 ,58.75 ,60.00 ,60.75 ,60.00 ,66.00 
24,31.75 ,35.75 ,54.75 ,57.50 ,59.00 ,60.25 ,61.50 ,61.75 ,61.00 ,67.00 
25,32.50 ,36.50 ,56.25 ,59.00 ,60.50 ,61.75 ,63.00 ,62.75 ,62.00 ,68.00 
26,33.25 ,37.25 ,57.75 ,60.50 ,62.00 ,63.25 ,64.75 ,64.25 ,63.50 ,69.50 
27,34.00 ,38.00 ,59.25 ,62.00 ,63.50 ,64.75 ,66.25 ,65.75 ,65.25 ,71.25 
28,34.75 ,38.75 ,60.75 ,63.50 ,65.00 ,66.50 ,67.75 ,67.50 ,67.25 ,72.75 
29,35.50 ,39.50 ,62.25 ,65.00 ,66.75 ,68.00 ,69.50 ,69.00 ,69.00 ,74.25 
30,36.25 ,40.25 ,63.75 ,66.50 ,68.25 ,69.50 ,71.00 ,70.50 ,70.75 ,75.75 
