Exceed,2,3,4,5,6,7,8
1,3.93,4.03,4.25,4.30,4.48,4.52,4.62
2,3.99,4.18,4.50,4.60,4.88,4.97,5.22
3,4.07,4.33,4.70,4.85,5.13,5.27,5.67
4,4.19,4.47,4.90,5.10,5.38,5.52,5.97
5,4.32,4.60,5.07,5.30,5.58,5.77,6.27
6,4.46,4.72,5.22,5.50,5.78,6.02,6.52
7,4.60,4.84,5.32,5.65,5.98,6.22,6.77
8,4.73,4.96,5.42,5.75,6.13,6.47,7.17
9,4.86,5.08,5.52,5.85,6.28,6.77,7.57
10,4.99,5.19,5.62,6.00,6.48,7.17,8.02
11,5.12,5.31,5.72,6.15,6.73,7.62,8.52
12,5.25,5.44,5.82,6.30,6.98,8.07,9.07
13,5.37,5.58,5.91,6.40,7.28,8.52,9.62
14,5.48,5.72,6.00,6.50,7.63,8.97,10.17
15,5.58,5.87,6.09,6.65,7.98,9.42,10.72
16,5.67,6.03,6.24,6.85,8.34,9.87,11.27
17,5.75,6.20,6.39,7.10,8.71,10.32,11.82
18,5.84,6.38,6.59,7.40,9.08,10.77,12.37
19,5.94,6.56,6.79,7.70,9.45,11.22,12.92
20,6.05,6.74,6.99,8.00,9.82,11.62,13.47
21,6.17,6.92,7.20,8.30,10.19,12.02,14.02
22,6.30,7.10,7.41,8.60,10.56,12.42,14.57
23,6.43,7.28,7.62,8.85,10.93,12.87,15.12
24,6.56,7.45,7.83,9.10,11.30,13.32,15.67
25,6.69,7.61,8.04,9.35,11.67,13.77,16.22
26,6.82,7.76,8.25,9.60,12.04,14.17,16.72
27,6.95,7.91,8.47,9.86,12.41,14.57,17.22
28,7.08,8.06,8.69,10.12,12.78,14.97,17.77
29,7.21,8.22,8.91,10.39,13.15,15.42,18.32
30,7.34,8.39,9.12,10.66,13.52,15.87,18.87
31,7.47,8.56,9.34,10.93,13.89,16.32,19.42
32,7.60,8.73,9.56,11.21,14.26,16.77,19.97
33,7.73,8.90,9.77,11.49,14.62,17.22,20.52
34,7.85,9.07,9.99,11.77,14.98,17.67,21.06
35,7.97,9.24,10.20,12.05,15.34,18.12,21.60
36,8.09,9.41,10.41,12.32,15.69,18.57,22.13
37,8.21,9.58,10.63,12.59,16.04,19.02,22.66
38,8.33,9.75,10.85,12.86,16.38,19.47,23.18
39,8.44,9.92,11.06,13.13,16.71,19.92,23.70
40,8.55,10.09,11.27,13.40,17.03,20.37,24.21
41,8.66,10.26,11.48,13.67,17.35,20.82,24.72
42,8.77,10.43,11.69,13.94,17.67,21.27,25.22
43,8.88,10.60,11.89,14.21,17.98,21.72,25.72
44,8.98,10.77,12.09,14.48,18.28,22.17,26.22
45,9.07,10.94,12.28,14.75,18.57,22.57,26.72
46,9.15,11.10,12.47,15.02,18.85,22.97,27.22
47,9.23,11.25,12.65,15.28,19.12,23.37,27.72
48,9.31,11.39,12.83,15.53,19.38,23.77,28.17
49,9.39,11.52,13.00,15.77,19.63,24.17,28.57
50,9.47,11.64,13.17,16.00,19.87,24.52,28.92
51,9.55,11.75,13.33,16.22,20.10,24.87,29.27
52,9.63,11.85,13.49,16.42,20.33,25.17,29.62
53,9.71,11.95,13.64,16.62,20.56,25.42,29.92
54,9.79,12.05,13.79,16.82,20.79,25.62,30.17
55,9.87,12.15,13.93,17.02,21.02,25.77,30.42
56,9.95,12.25,14.07,17.22,21.25,25.92,30.62
57,10.03,12.35,14.20,17.42,21.47,26.07,30.82
58,10.11,12.45,14.33,17.57,21.68,26.22,31.02
59,10.19,12.55,14.45,17.72,21.88,26.37,31.22
60,10.27,12.64,14.57,17.87,22.07,26.52,31.42
61,10.35,12.73,14.68,17.97,22.25,26.67,31.62
62,10.43,12.82,14.79,18.07,22.42,26.82,31.82
63,10.51,12.91,14.90,18.17,22.58,26.97,32.02
64,10.59,13.00,15.00,18.27,22.73,27.12,32.22
65,10.67,13.09,15.10,18.37,22.87,27.27,32.42
66,10.75,13.18,15.19,18.48,23.00,27.42,32.62
67,10.82,13.27,15.28,18.60,23.12,27.57,32.82
68,10.89,13.36,15.37,18.73,23.23,27.72,33.02
69,10.96,13.45,15.46,18.87,23.33,27.87,33.22
70,11.02,13.54,15.55,19.02,23.43,28.02,33.42
71,15.42,17.24,19.05,21.02,25.18,29.27,34.42
72,19.22,20.94,22.55,23.52,26.93,30.77,35.42
73,22.42,24.04,25.55,26.02,28.68,32.27,36.17
74,24.62,26.34,27.80,28.52,30.43,33.52,36.92
75,25.82,27.54,29.30,30.02,31.93,34.52,37.42
76,27.02,28.54,30.05,31.02,33.18,35.27,37.92
77,28.02,29.44,30.70,31.77,34.18,35.77,38.32
78,28.92,30.29,31.30,32.52,34.93,36.22,38.72
79,29.62,31.14,31.85,33.02,35.43,36.67,39.12
80,30.22,31.99,32.35,33.42,35.83,37.07,39.52
81,30.77,32.44,32.80,33.82,36.23,37.47,39.92
82,31.27,32.88,33.24,34.22,36.63,37.87,40.32
83,31.72,33.31,33.67,34.62,37.03,38.27,40.72
84,32.12,33.73,34.09,35.02,37.43,38.67,41.12
85,32.52,34.14,34.50,35.42,37.83,39.07,41.52
86,32.92,34.54,34.90,35.82,38.23,39.47,41.92
87,33.32,34.94,35.31,36.22,38.63,39.87,42.32
88,33.72,35.34,35.72,36.62,39.03,40.27,42.72
89,34.12,35.74,36.14,37.02,39.43,40.67,43.12
90,34.52,36.14,36.55,37.42,39.83,41.07,43.52
91,34.92,36.54,36.95,37.82,40.23,41.47,43.92
92,35.32,36.94,37.34,38.22,40.63,41.87,44.32
93,35.72,37.34,37.72,38.62,41.03,42.27,44.72
94,36.12,37.74,38.08,39.02,41.43,42.67,45.12
95,36.52,38.14,38.44,39.42,41.83,43.07,45.52
96,36.91,38.49,38.80,39.82,42.23,43.47,45.92
97,37.30,38.84,39.16,40.22,42.63,43.87,46.32
98,37.69,39.19,39.52,40.62,43.03,44.27,46.72
99,38.08,39.54,39.88,41.02,43.43,44.67,47.12
100,38.47,39.89,40.24,41.42,43.83,45.07,47.52
101,38.82,40.24,40.60,41.76,44.20,45.46,47.91
102,39.17,40.59,40.96,42.10,44.57,45.85,48.30
103,39.52,40.94,41.32,42.44,44.94,46.24,48.69
104,39.87,41.29,41.68,42.78,45.31,46.63,49.08
105,40.22,41.64,42.04,43.12,45.68,47.02,49.47
106,40.57,41.99,42.40,43.46,46.05,47.41,49.86
107,40.92,42.34,42.76,43.80,46.42,47.80,50.25
108,41.27,42.69,43.12,44.14,46.79,48.19,50.64
109,41.62,43.04,43.48,44.48,47.16,48.58,51.03
110,41.97,43.39,43.84,44.82,47.53,48.97,51.42
111,42.31,43.74,44.20,45.16,47.90,49.36,51.81
112,42.65,44.09,44.56,45.50,48.27,49.75,52.20
